Customer_ID,Transaction_ID,Transaction_Date,Category_Code,Transaction_Type,Transaction_Amount,Payment_Code,Number_of_Transactions
16748,1000000,2024-08-24,7,Sale,9999.99,3,13
84551,1000001,2024-08-24,10,Return,994.6,4,
22153,1000002,2024-08-11,5,Sale,2363.88,2,7
73569,1000003,2024-08-08,4,Sale,2023.55,4,12
26039,1000004,2024-08-20,8,Sale,3281.29,1,10
75157,1000005,2024-08-27,4,Sale,2727.82,5,14
27098,1000006,2024-08-23,2,Sale,1642.22,4,15
86796,1000007,2024-08-19,7,Sale,8665.98,1,19
52081,1000008,2024-08-03,5,Sale,7801.17,3,14
41942,1000009,2024-08-27,1,Sale,507.32,5,3
34494,1000010,2024-08-24,7,Sale,6998.88,1,8
73638,1000011,2024-08-27,7,Sale,9999.99,5,6
76230,1000012,2024-08-16,2,Sale,2010.6,1,9
29427,1000013,2024-08-13,2,Sale,3046.45,4,18
66073,1000014,2024-08-09,7,Sale,9999.99,4,16
86040,1000015,2024-08-17,6,Sale,1679.28,3,17
79362,1000016,2024-08-29,3,Sale,3638.03,5,7
14367,1000017,2024-08-19,7,Sale,4483.22,5,15
24614,1000018,2024-08-05,6,Return,1240.82,4,
29502,1000019,2024-08-29,2,Sale,4129.65,3,9
72547,1000020,2024-08-19,8,Sale,3195.86,3,8
44351,1000021,2024-08-07,4,Sale,666.34,1,6
43437,1000022,2024-08-05,5,Return,3499.12,1,
97978,1000023,2024-08-18,8,Sale,7189.14,4,11
82916,1000024,2024-08-30,2,Return,7465.06,4,
92224,1000025,2024-08-22,5,Sale,2973.44,5,8
35768,1000026,2024-08-17,6,Sale,3036.47,1,7
85924,1000027,2024-08-10,2,Sale,5886.2,5,8
24865,1000028,2024-08-19,4,Sale,645,1,9
55560,1000029,2024-08-21,4,Sale,2093.78,5,11
24898,1000030,2024-08-01,5,Sale,3458.5,1,12
48881,1000031,2024-08-31,5,Sale,9999.99,4,4
14071,1000032,2024-08-05,4,Sale,2777.08,4,21
39278,1000033,2024-08-14,8,Sale,4140.31,1,10
64549,1000034,2024-08-04,6,Sale,3263.86,5,5
51092,1000035,2024-08-23,5,Sale,1633.47,2,24
90762,1000036,2024-08-07,3,Sale,1133.92,4,12
89275,1000037,2024-08-25,9,Sale,9999.99,4,16
53907,1000038,2024-08-19,4,Sale,776.3,2,10
63328,1000039,2024-08-25,5,Sale,9999.99,5,8
13057,1000040,2024-08-11,3,Return,1441.53,2,
40913,1000041,2024-08-23,3,Sale,2031.25,4,27
95975,1000042,2024-08-05,1,Sale,888.84,5,17
55914,1000043,2024-08-10,7,Sale,8733.87,4,11
64092,1000044,2024-08-26,6,Sale,1800.45,2,21
68634,1000045,2024-08-22,10,Sale,1323.56,5,8
22737,1000046,2024-08-24,5,Sale,2993.25,5,13
73663,1000047,2024-08-29,9,Sale,3553.11,2,8
22998,1000048,2024-08-08,3,Sale,1271.24,5,13
65697,1000049,2024-08-27,2,Sale,3831.93,5,7
80720,1000050,2024-08-27,5,Sale,5713.47,4,13
86611,1000051,2024-08-02,1,Sale,477.94,5,20
80654,1000052,2024-08-22,3,Sale,2067.95,5,13
17696,1000053,2024-08-15,1,Sale,2849.29,4,17
13013,1000054,2024-08-12,4,Sale,614.17,2,19
61029,1000055,2024-08-17,2,Sale,4329.62,5,22
88556,1000056,2024-08-12,1,Sale,1097.78,3,11
68309,1000057,2024-08-16,3,Sale,1132.03,1,8
15739,1000058,2024-08-23,5,Sale,1755.14,1,9
97971,1000059,2024-08-29,3,Sale,2733.65,4,25
78655,1000060,2024-08-19,9,Sale,5424.24,1,14
75913,1000061,2024-08-26,1,Return,685.05,5,
13056,1000062,2024-08-12,9,Sale,9719.77,3,8
77159,1000063,2024-08-01,3,Sale,3212.85,3,9
16838,1000064,2024-08-05,1,Sale,254.6,1,7
31014,1000065,2024-08-02,7,Sale,8927.9,5,9
31266,1000066,2024-08-08,1,Sale,1826.47,4,11
39798,1000067,2024-08-19,1,Return,681.22,2,
65369,1000068,2024-08-22,8,Sale,2286.87,5,14
