Month,Total_Net_Spend,HSIC_Net_Spend,Tx_Count,Unique_Active_Shoppers,Non_HSIC_Net_Spend,HSIC_SoW_Pct
2024-08,22305468.94,7662233.13,7715,6827,14643235.810000002,34.35
2024-09,22988280.98,7422401.0,8191,7183,15565879.98,32.29
2024-10,23148416.0,7315369.99,8267,7318,15833046.01,31.6
2024-11,24060810.83,7177393.47,8705,7627,16883417.36,29.83
2024-12,25365498.12,7788680.1,9062,7917,17576818.020000003,30.71
2025-01,23980301.46,6995945.31,8461,7578,16984356.150000002,29.17
2025-02,22450776.95,6773144.47,8064,7329,15677632.48,30.17
2025-03,25151559.66,6824908.59,9080,8074,18326651.07,27.14
2025-04,26940759.44,7404505.7299999995,9653,8485,19536253.71,27.48
2025-05,26796706.73,7258050.51,9666,8577,19538656.22,27.09
2025-06,25934640.61,6517874.54,9362,8333,19416766.07,25.13
2025-07,27221034.96,6531218.62,9767,8648,20689816.34,23.99
2025-08,27034113.61,6328245.82,9760,8655,20705867.79,23.41
2025-09,29228376.09,6810818.96,10521,9211,22417557.13,23.3
2025-10,31460639.37,7312203.0,11296,9817,24148436.37,23.24
2025-11,29669402.63,6117630.61,10878,9584,23551772.02,20.62
2025-12,29366643.22,6260369.28,10752,9328,23106273.939999998,21.32
2026-01,27745030.98,5533348.46,10241,9173,22211682.52,19.94
2026-02,28712626.09,5675771.01,10295,9235,23036855.08,19.77
2026-03,28633865.02,5431007.26,10448,9376,23202857.759999998,18.97
2026-04,31389657.88,5324589.75,11500,10238,26065068.13,16.96
2026-05,31631392.56,5124372.54,11720,10372,26507020.02,16.2
2026-06,28752208.21,4582905.2,10609,9567,24169303.01,15.94
2026-07,30180519.74,4421367.33,11077,9896,25759152.409999996,14.65
