Membership_Type,Category,Eligible_Non_HSIC_Spend,Estimated_Reward_Opportunity,Actual_HSIC_Rewards_Earned
Non-Prime,Apparel,15542199.14,174408.79,55905.71
Non-Prime,Beauty,8952019.23,100719.9,31093.89
Non-Prime,Bill Payments,4760367.62,53521.69,17023.52
Non-Prime,Electronics,44950151.26,507041.63,156804.24
Non-Prime,Furniture,30785607.12,347815.47,108095.69
Non-Prime,Grocery,10958100.56,123547.01,37501.07
Non-Prime,Kids And Toys,10295383.14,115835.5,36088.68
Non-Prime,Large Applicances,35560752.15,397244.37,127502.83
Non-Prime,Outdoor,14187818.42,159916.68,49760.27
Non-Prime,Travel,25821035.13,290254.5,89651.13
Prime,Apparel,23015801.73,257047.06,78353.27
Prime,Beauty,12854333.63,144739.59,45693.33
Prime,Bill Payments,7006477.81,79077.22,24471.32
Prime,Electronics,66217209.28,2228485.45,704481.63
Prime,Furniture,44850301.43,508652.27,167079.31
Prime,Grocery,15934189.12,898284.03,271109.42
Prime,Kids And Toys,14711494.67,165701.49,51956.61
Prime,Large Applicances,51554606.57,582958.37,173626.56
Prime,Outdoor,19961629.19,227636.03,69853.53
Prime,Travel,37634898.2,423779.33,130049.5
